Picklist_date,picklist_no,picklist_type,stores_in_picklist
2025-12-08,336,bulk,"398939.0,400263.0"
2025-12-08,337,bulk,"395059.0,400357.0"
2025-12-08,338,bulk,"400317.0,401063.0"
2025-12-08,339,bulk,"394957.0,400263.0"
2025-12-08,340,bulk,"395106.0,400907.0"
2025-12-08,341,bulk,"398693.0,400317.0"
2025-12-08,342,bulk,"400356.0,394957.0"
2025-12-08,343,bulk,"398693.0,400263.0"
2025-12-08,344,bulk,"400907.0,397205.0"
2025-12-08,345,bulk,"395059.0,394957.0"
2025-12-08,346,multi order,"400356.0,398693.0"
2025-12-08,347,bulk,"398693.0,401063.0"
2025-12-08,348,bulk,"394957.0,400317.0"
2025-12-08,349,bulk,"400356.0,400357.0"
2025-12-08,350,multi order,"398939.0,400317.0"
2025-12-08,351,bulk,"395106.0,401063.0"
2025-12-08,352,multi order,"394957.0,398693.0"
2025-12-08,353,bulk,"400357.0,400263.0"
2025-12-08,354,multi order,"395059.0,394957.0"
2025-12-08,355,bulk,"398939.0,394957.0"
2025-12-08,356,bulk,"395106.0,394957.0"
2025-12-08,357,bulk,"398939.0,401063.0"
2025-12-08,358,bulk,"400907.0,398693.0"
2025-12-08,359,multi order,"400317.0,398693.0"
2025-12-08,360,bulk,"395106.0,395059.0"
2025-12-08,361,multi order,"397205.0,400263.0"
2025-12-08,362,multi order,"395059.0,394957.0"
2025-12-08,363,bulk,"398939.0,400356.0"
2025-12-08,364,bulk,"395106.0,400263.0"
2025-12-08,365,multi order,"394957.0,397205.0"
2025-12-08,366,bulk,"398939.0,401063.0"
2025-12-08,367,bulk,"395106.0,398693.0"
2025-12-08,368,bulk,"394957.0,398693.0"
2025-12-08,369,bulk,"397205.0,400263.0"
2025-12-08,370,bulk,"394957.0,398693.0"
2025-12-08,371,bulk,"395106.0,398939.0"
2025-12-08,372,multi order,"400317.0,401063.0"
2025-12-08,373,bulk,"395059.0,394957.0"
2025-12-08,374,bulk,"398693.0,397205.0"
2025-12-08,375,bulk,"398693.0,401063.0"
2025-12-08,376,bulk,"395059.0,394957.0"
2025-12-08,377,bulk,"394957.0,398693.0"
2025-12-08,378,multi order,"397205.0,400317.0"
2025-12-08,379,bulk,"395106.0,400263.0"
2025-12-08,380,bulk,"394957.0,398693.0"
2025-12-08,381,bulk,"395059.0,400357.0"
2025-12-08,382,bulk,"394957.0,400263.0"
2025-12-08,383,bulk,"398693.0,400317.0"
2025-12-08,384,bulk,"400907.0,400357.0"
2025-12-08,385,bulk,"398939.0,400356.0"
2025-12-08,386,bulk,"394957.0,397205.0"
2025-12-08,387,multi order,"398939.0,398693.0"
2025-12-08,388,bulk,"395106.0,397205.0"
2025-12-08,389,bulk,"394957.0,401063.0"
2025-12-08,390,multi order,"398693.0,400263.0"
2025-12-08,391,bulk,"395106.0,397205.0"
2025-12-08,392,bulk,"398939.0,398693.0"
2025-12-08,393,multi order,"394957.0,398693.0"
2025-12-08,394,bulk,"398939.0,400317.0"
2025-12-08,395,bulk,"398939.0,398693.0"
2025-12-08,396,bulk,"398939.0,397205.0"
2025-12-08,397,bulk,"395106.0,397205.0"
2025-12-08,398,bulk,"398939.0,400263.0"
2025-12-08,399,multi order,"395106.0,398693.0"
2025-12-08,400,multi order,"400356.0,400357.0"
2025-12-08,401,multi order,"397205.0,400263.0"
2025-12-08,402,multi order,"400356.0,398693.0"
2025-12-08,403,multi order,"400907.0,401063.0"
2025-12-08,404,multi order,"395106.0,398939.0"
2025-12-08,405,multi order,"395059.0,401063.0"
2025-12-08,406,multi order,"400357.0,394957.0"
2025-12-08,407,bulk,"398939.0,401063.0"
2025-12-08,408,bulk,"400356.0,401063.0"
2025-12-08,409,multi order,"394957.0,398693.0"
2025-12-08,410,multi order,"394957.0,397205.0"
2025-12-08,411,bulk,"401063.0,400263.0"
2025-12-08,412,multi order,"398939.0,394957.0"
2025-12-08,413,multi order,"398693.0,401063.0"
2025-12-08,414,bulk,"398939.0,400356.0"
2025-12-08,415,bulk,"394957.0,401063.0"
2025-12-08,416,multi order,"400907.0,397205.0"
2025-12-08,417,multi order,"398693.0,401063.0"
2025-12-08,418,multi order,"394957.0,398693.0"
2025-12-08,419,bulk,"395059.0,397205.0"
2025-12-08,420,multi order,"398693.0,397205.0"
2025-12-08,421,multi order,"398939.0,400356.0"
2025-12-08,422,multi order,"394957.0,398693.0"
2025-12-08,423,multi order,"395106.0,397205.0"
2025-12-08,424,multi order,"398939.0,394957.0"
2025-12-08,425,bulk,"398693.0,397205.0"
2025-12-08,426,multi order,"398939.0,398693.0"
2025-12-08,427,bulk,"397205.0,401063.0"
2025-12-08,428,bulk,"394957.0,398693.0"
2025-12-08,429,bulk,"398939.0,400263.0"
2025-12-08,430,bulk,"398693.0,397205.0"
2025-12-08,431,multi order,"395059.0,398693.0"
2025-12-08,432,multi order,"398939.0,394957.0"
2025-12-08,433,bulk,"394957.0,398693.0"
2025-12-08,434,bulk,"398939.0,400356.0"
2025-12-08,435,bulk,"395106.0,395059.0"
2025-12-08,436,bulk,"395106.0,400263.0"
2025-12-08,437,bulk,"394957.0,397205.0"
2025-12-08,438,bulk,"395106.0,394957.0"
2025-12-08,439,bulk,"397205.0,401063.0"
2025-12-08,440,bulk,"395106.0,395059.0"
2025-12-08,441,bulk,"398939.0,397205.0"
2025-12-08,442,bulk,"400357.0,401063.0"
2025-12-08,443,multi order,"395106.0,400263.0"
2025-12-08,444,multi order,"394957.0,398693.0"
2025-12-08,445,bulk,"400357.0,398693.0"
2025-12-08,446,multi order,"395106.0,394957.0"
2025-12-08,447,multi order,"394957.0,398693.0"
2025-12-08,448,bulk,"395106.0,398693.0"
2025-12-08,449,bulk,"398939.0,401063.0"
2025-12-08,450,bulk,"398939.0,395059.0"
2025-12-08,451,bulk,"398939.0,400907.0"
2025-12-08,452,bulk,"395106.0,400356.0"
2025-12-08,453,bulk,"398693.0,397205.0"
2025-12-08,454,bulk,"398939.0,394957.0"
2025-12-08,455,bulk,"395059.0,398693.0"
2025-12-08,456,bulk,"394957.0,400263.0"
2025-12-08,457,multi order,"398693.0,400263.0"
2025-12-08,458,multi order,"394957.0,400317.0"
2025-12-08,459,bulk,"398939.0,398693.0"
2025-12-08,460,bulk,"395059.0,401063.0"
2025-12-08,461,multi order,"395106.0,398693.0"
2025-12-08,462,bulk,"398939.0,400263.0"
2025-12-08,463,bulk,"398693.0,400263.0"
2025-12-08,464,multi order,"398939.0,394957.0"
2025-12-08,465,bulk,"398693.0,397205.0"
2025-12-08,466,bulk,"398693.0,401063.0"
2025-12-08,467,multi order,"395059.0,400263.0"
2025-12-08,468,bulk,"398939.0,401063.0"
2025-12-08,469,bulk,"400357.0,394957.0"
2025-12-08,470,bulk,"398693.0,400263.0"
2025-12-08,471,multi order,"395106.0,398693.0"
2025-12-08,472,bulk,"397205.0,398693.0"
2025-12-08,473,bulk,"398693.0,400263.0"
2025-12-08,474,multi order,"395059.0,397205.0"
2025-12-08,475,bulk,"394957.0,400317.0"
2025-12-08,476,bulk,"395059.0,400263.0"
2025-12-08,477,bulk,"395106.0,394957.0"
2025-12-08,478,bulk,"398939.0,401063.0"
2025-12-08,479,bulk,"398939.0,398693.0"
2025-12-08,480,bulk,"400356.0,398693.0"
2025-12-08,481,multi order,"398939.0,397205.0"
2025-12-08,482,bulk,"394957.0,398693.0"
2025-12-08,483,bulk,"398939.0,394957.0"
2025-12-08,484,multi order,"398693.0,397205.0"
2025-12-08,485,multi order,"394957.0,398693.0"
2025-12-08,486,multi order,"395059.0,397205.0"
2025-12-08,487,multi order,"394957.0,398693.0"
2025-12-08,488,bulk,"394957.0,400263.0"
2025-12-08,489,bulk,"394957.0,398693.0"
2025-12-08,490,bulk,"397205.0,398693.0"
2025-12-08,491,bulk,"394957.0,398693.0"
2025-12-08,492,multi order,"400907.0,398693.0"
2025-12-08,493,multi order,"394957.0,400263.0"
2025-12-08,494,bulk,"395059.0,397205.0"
2025-12-08,495,bulk,"394957.0,398693.0"
